"Year","Major_Name","perc_Men","perc_Women","perc_American","perc_Total"
4,"Accountancy ",53.4,46.5,87.2,3.04
4,"Actuarial Science ",65.5,34.5,86.6,0.587
4,"Advertising ",22.8,77.2,94,0.676
4,"Aero & Astro Engineering ",82.9,16.9,92.6,1.1
4,"African Studies ",40,60,90,0.0253
4,"Agr & Consumer Economics ",58.8,41.2,35.3,0.215
4,"Agr & Environmental Cmc & Educ ",33,67,100,0.283
4,"Agr Engineering & Agr Science ",86.7,13.3,97.8,0.114
4,"Agribusiness, Farm & Financial ",68.9,30.4,98.3,0.724
4,"Agricultural Economics ",100,0,0,0.00253
4,"Agricultural Education ",0,100,100,0.0253
4,"Agricultural Engineering ",81.9,18.1,77.7,0.238
4,"Animal Sciences ",27.1,72.9,96.8,1.5
4,"Anthropology ",31.4,68.6,89,0.483
4,"Applied Mathematics ",51.5,48.5,24.2,0.0835
4,"Architectural Studies ",56.3,43.5,96.3,1.38
4,"Architecture ",61.9,38.1,80.2,0.511
4,"Art and Design ",51.1,48.9,93.3,0.114
4,"Art Education ",17,83,93.4,0.268
4,"Art History ",12,88,88,0.0633
4,"Asian Studies ",20,80,30,0.0253
4,"Astronomy ",51.4,48.6,62.9,0.177
4,"Atmospheric Sciences ",68.3,31.7,53.7,0.104
4,"Audiology ",0,100,100,0.0127
4,"Aviation Human Factors ",93.7,6.35,98.4,0.478
4,"Biochemistry ",49.2,50.5,83,0.833
4,"Bioengineering ",73.7,26.3,97.4,0.0962
4,"Biology ",43.7,56.2,96,3.06
4,"Biophysics ",100,0,100,0.00253
4,"Biophysics & Computnl Biology ",69,31,39.4,0.18
4,"Broadcast Journalism ",39.7,60.3,100,0.172
4,"Business Administration ",50.5,49.5,86,2.18
4,"Business Administration (MBA) ",73.8,26.2,54.8,0.772
4,"Cell and Structural Biology ",55.6,44.4,56.7,0.228
4,"Chemical Engineering ",67.6,32.4,79.9,1.06
4,"Chemical Physics ",83.3,16.7,50,0.0152
4,"Chemistry ",55.8,44.2,87.9,1.76
4,"Civil Engineering ",79.1,20.9,74.5,1.92
4,"Classical Philology ",71.4,28.6,71.4,0.0177
4,"Classics ",40,60,100,0.0886
4,"Communications ",48,52,70,0.127
4,"Community Health ",20.5,79.5,99.5,0.949
4,"Comparative Literature ",29.2,70.8,56.2,0.121
4,"Computer Engineering ",92.5,7.55,89.9,1.61
4,"Computer Science ",88.3,11.5,74.5,3.02
4,"Consumer and Textile Marketing ",3.03,97,100,0.251
4,"Crafts ",30,70,96.7,0.0759
4,"Creative Writing ",51.9,48.1,100,0.0683
4,"Crop Sciences ",68.2,31.2,82.5,0.39
4,"Curric Unassigned ",62.6,37.4,94,0.974
4,"Dance ",14.1,85.9,94.4,0.18
4,"E Asian Languages & Cultures ",38.6,59.6,68.4,0.144
4,"Early Childhood Education ",4.41,95.6,98.5,0.172
4,"Ecology, Ethology, & Evolution ",33.3,66.7,100,0.00759
4,"Economics ",74,26,73.1,1.95
4,"Ed Organization and Leadership ",35.8,64.2,98.6,0.375
4,"Educ Voc Tech ",36.3,63.7,65.9,0.23
4,"Education General ",9.83,90.2,100,0.747
4,"Educational Policy Studies ",34.1,65.9,85.6,0.334
4,"Educational Psychology ",30.5,69.5,51.9,0.332
